Airspace_Type,Polygon_ID,Vertex_Index,X,Y,Area,Perimeter
restricted_airspace,6,8,1957,1976,1750.0,220.99494755268097
restricted_airspace,6,9,1966,1980,1750.0,220.99494755268097
restricted_airspace,6,10,1988,1979,1750.0,220.99494755268097
restricted_airspace,6,11,1994,1975,1750.0,220.99494755268097
restricted_airspace,6,12,1992,1962,1750.0,220.99494755268097
restricted_airspace,6,13,2003,1959,1750.0,220.99494755268097
restricted_airspace,6,14,1993,1955,1750.0,220.99494755268097
restricted_airspace,6,15,1995,1943,1750.0,220.99494755268097
restricted_airspace,6,16,1990,1940,1750.0,220.99494755268097
restricted_airspace,6,17,1976,1940,1750.0,220.99494755268097
restricted_airspace,6,18,1969,1944,1750.0,220.99494755268097
restricted_airspace,6,19,1952,1940,1750.0,220.99494755268097
restricted_airspace,8,1,1047,1803,2678.5,709.0508579015732
restricted_airspace,8,2,1024,1803,2678.5,709.0508579015732
restricted_airspace,8,3,981,1829,2678.5,709.0508579015732
restricted_airspace,8,4,960,1813,2678.5,709.0508579015732
restricted_airspace,8,5,968,1826,2678.5,709.0508579015732
restricted_airspace,8,6,943,1828,2678.5,709.0508579015732
restricted_airspace,8,7,936,1815,2678.5,709.0508579015732
restricted_airspace,8,8,932,1840,2678.5,709.0508579015732
restricted_airspace,8,9,947,1848,2678.5,709.0508579015732
restricted_airspace,8,10,894,1866,2678.5,709.0508579015732
restricted_airspace,8,11,894,1885,2678.5,709.0508579015732
restricted_airspace,8,12,876,1886,2678.5,709.0508579015732
restricted_airspace,8,13,889,1876,2678.5,709.0508579015732
restricted_airspace,8,14,881,1871,2678.5,709.0508579015732
restricted_airspace,8,15,866,1886,2678.5,709.0508579015732
restricted_airspace,8,16,875,1897,2678.5,709.0508579015732
restricted_airspace,8,17,894,1892,2678.5,709.0508579015732
restricted_airspace,8,18,958,1845,2678.5,709.0508579015732
restricted_airspace,9,1,767,1796,1058.5,339.2619733810425
restricted_airspace,9,2,777,1802,1058.5,339.2619733810425
restricted_airspace,9,3,797,1797,1058.5,339.2619733810425
restricted_airspace,9,4,845,1802,1058.5,339.2619733810425
restricted_airspace,9,5,849,1806,1058.5,339.2619733810425
restricted_airspace,9,6,846,1810,1058.5,339.2619733810425
restricted_airspace,9,7,825,1811,1058.5,339.2619733810425
restricted_airspace,9,8,828,1824,1058.5,339.2619733810425
restricted_airspace,9,9,835,1819,1058.5,339.2619733810425
restricted_airspace,9,10,840,1828,1058.5,339.2619733810425
restricted_airspace,9,11,858,1823,1058.5,339.2619733810425
restricted_airspace,9,12,854,1798,1058.5,339.2619733810425
restricted_airspace,9,13,849,1795,1058.5,339.2619733810425
restricted_airspace,9,14,804,1796,1058.5,339.2619733810425
restricted_airspace,9,15,788,1789,1058.5,339.2619733810425
restricted_airspace,10,1,1959,1765,3341.0,874.0630507469177
restricted_airspace,10,2,2006,1769,3341.0,874.0630507469177
restricted_airspace,10,3,2000,1812,3341.0,874.0630507469177
restricted_airspace,10,4,2037,1813,3341.0,874.0630507469177
restricted_airspace,10,5,2038,1834,3341.0,874.0630507469177
restricted_airspace,10,6,2092,1809,3341.0,874.0630507469177
restricted_airspace,10,7,2083,1799,3341.0,874.0630507469177
restricted_airspace,10,8,2069,1812,3341.0,874.0630507469177
restricted_airspace,10,9,2066,1802,3341.0,874.0630507469177
restricted_airspace,10,10,2012,1800,3341.0,874.0630507469177
restricted_airspace,10,11,2024,1783,3341.0,874.0630507469177
restricted_airspace,10,12,2046,1793,3341.0,874.0630507469177
restricted_airspace,10,13,2040,1769,3341.0,874.0630507469177
restricted_airspace,10,14,2126,1766,3341.0,874.0630507469177
restricted_airspace,10,15,2022,1763,3341.0,874.0630507469177
restricted_airspace,10,16,2024,1777,3341.0,874.0630507469177
restricted_airspace,10,17,2011,1763,3341.0,874.0630507469177
restricted_airspace,11,1,1309,1724,1097.0,271.4213538169861
restricted_airspace,11,2,1310,1738,1097.0,271.4213538169861
restricted_airspace,11,3,1316,1744,1097.0,271.4213538169861
restricted_airspace,11,4,1326,1741,1097.0,271.4213538169861
restricted_airspace,11,5,1355,1746,1097.0,271.4213538169861
restricted_airspace,11,6,1364,1741,1097.0,271.4213538169861
restricted_airspace,11,7,1372,1751,1097.0,271.4213538169861
restricted_airspace,11,8,1368,1759,1097.0,271.4213538169861
restricted_airspace,11,9,1380,1757,1097.0,271.4213538169861
restricted_airspace,11,10,1371,1750,1097.0,271.4213538169861
restricted_airspace,11,11,1376,1742,1097.0,271.4213538169861
restricted_airspace,11,12,1369,1730,1097.0,271.4213538169861
restricted_airspace,11,13,1366,1740,1097.0,271.4213538169861
restricted_airspace,11,14,1360,1726,1097.0,271.4213538169861
restricted_airspace,11,15,1352,1730,1097.0,271.4213538169861
restricted_airspace,11,16,1329,1729,1097.0,271.4213538169861
restricted_airspace,11,17,1318,1717,1097.0,271.4213538169861
restricted_airspace,12,1,1990,1667,4244.5,1103.1585035324097
restricted_airspace,12,2,2057,1709,4244.5,1103.1585035324097
restricted_airspace,12,3,2065,1747,4244.5,1103.1585035324097
restricted_airspace,12,4,2049,1737,4244.5,1103.1585035324097
restricted_airspace,12,5,2051,1757,4244.5,1103.1585035324097
restricted_airspace,12,6,2071,1756,4244.5,1103.1585035324097
restricted_airspace,12,7,2064,1727,4244.5,1103.1585035324097
restricted_airspace,12,8,2089,1710,4244.5,1103.1585035324097
restricted_airspace,12,9,2200,1758,4244.5,1103.1585035324097
restricted_airspace,12,10,2146,1765,4244.5,1103.1585035324097
restricted_airspace,12,11,2191,1769,4244.5,1103.1585035324097
restricted_airspace,12,12,2174,1791,4244.5,1103.1585035324097
restricted_airspace,12,13,2213,1763,4244.5,1103.1585035324097
restricted_airspace,12,14,2109,1714,4244.5,1103.1585035324097
restricted_airspace,12,15,2136,1707,4244.5,1103.1585035324097
restricted_airspace,12,16,2132,1690,4244.5,1103.1585035324097
restricted_airspace,12,17,2069,1699,4244.5,1103.1585035324097
restricted_airspace,13,1,1709,1649,1397.0,476.2152907848358
restricted_airspace,13,2,1822,1735,1397.0,476.2152907848358
restricted_airspace,13,3,1835,1737,1397.0,476.2152907848358
restricted_airspace,13,4,1790,1705,1397.0,476.2152907848358
restricted_airspace,13,5,1795,1699,1397.0,476.2152907848358
restricted_airspace,13,6,1826,1698,1397.0,476.2152907848358
restricted_airspace,13,7,1828,1690,1397.0,476.2152907848358
restricted_airspace,13,8,1793,1684,1397.0,476.2152907848358
restricted_airspace,13,9,1782,1697,1397.0,476.2152907848358
restricted_airspace,13,10,1731,1657,1397.0,476.2152907848358
restricted_airspace,14,1,1794,1590,1195.0,424.81832242012024
restricted_airspace,14,2,1868,1621,1195.0,424.81832242012024
restricted_airspace,14,3,1865,1627,1195.0,424.81832242012024
restricted_airspace,14,4,1858,1622,1195.0,424.81832242012024
restricted_airspace,14,5,1853,1626,1195.0,424.81832242012024
restricted_airspace,14,6,1858,1648,1195.0,424.81832242012024
restricted_airspace,14,7,1874,1646,1195.0,424.81832242012024
restricted_airspace,14,8,1876,1622,1195.0,424.81832242012024
restricted_airspace,14,9,1916,1644,1195.0,424.81832242012024
